# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 12, mean observations per image: 0.0
1 0.999999995767564 1.4485366579537785e-05 -8.803169184057325e-05 2.2482579916329366e-05 -4.2789710278157145e-05 -3.3809183150879107e-06 -4.1711748053785414e-05 1 1.jpg

2 0.9999999954811821 1.502938343705148e-05 -8.952762427116845e-05 2.82233569926045e-05 -4.394747208737369e-05 -7.389604174282535e-06 -3.452478527573736e-05 2 1.jpg

3 0.9999999951593093 1.557338311520482e-05 -9.102356293888558e-05 3.3964132398486396e-05 -4.5105233896590236e-05 -1.139829003347716e-05 -2.73378224976893e-05 3 1.jpg

4 0.9999999948019458 1.6117365613939445e-05 -9.251950784228136e-05 3.970490613214838e-05 -4.6262995705806785e-05 -1.5406975892671782e-05 -2.015085971964124e-05 4 1.jpg

5 0.9999999939807477 1.7205279072919012e-05 -9.551141635877336e-05 5.118644857522709e-05 -4.857851932423987e-05 -2.3424347611061027e-05 -5.776934163545129e-06 5 1.jpg

6 0.999999993516913 1.7749210033047275e-05 -9.700737997120346e-05 5.692721728077132e-05 -4.973628113345642e-05 -2.7433033470255657e-05 1.4100286145029308e-06 6 1.jpg

7 0.9999999930175878 1.8293123813523347e-05 -9.850334981909015e-05 6.266798430646704e-05 -5.089404294267297e-05 -3.144171932945028e-05 8.59699139255099e-06 7 1.jpg

8 0.9999996157979453 0.0006451646240021616 9.944550351503878e-05 0.0005850445806803981 -0.026931025403817848 0.0020446100492595826 -0.0632383831782915 8 1.jpg

9 0.9999967447968274 0.001899540458077419 0.0004933810879457212 0.0016305572355663803 -0.08069128812556821 0.006196713586437649 -0.1897323435176596 9 1.jpg

10 0.9999942502306234 0.0025270391837309792 0.0006893650118025008 0.00215368394558094 -0.10757141948644337 0.008272765355026681 -0.25297932368734366 10 1.jpg

11 0.9999910491222262 0.0031547413666881967 0.0008846911766169363 0.0026770513370672996 -0.13445155084731852 0.010348817123615713 -0.3162263038570277 11 1.jpg

12 0.9999825258215115 0.004410743661150642 0.0012733380550800089 0.0037245136841794597 -0.1882118135690689 0.014500920660793781 -0.4427202641963959 12 1.jpg

